,ISBN,result
44,0590470086,"(['  Kindle  \n $3.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Paperback  \n $11.63  \n\n\n   \n     14 Used from $1.15         2 New from $20.99      ', '  Audio CD  \n $19.99  \n\n\n   \n     4 New from $14.07      '], '0590470086')"
45,1559706392,"(['  Kindle  \n $10.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $8.23  \n\n\n   \n     11 Used from $3.00         3 Collectible from $6.00      ', '  Paperback  \n $14.99  \n\n\n   \n     8 Used from $2.02         4 New from $9.50      ', '  MP3 CD  \n $9.99  \n\n\n   \n     3 New from $8.76      '], '1559706392')"
46,1416532528,"(['  Kindle  \n $15.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $13.90  \n\n\n   \n     27 Used from $3.00         2 New from $9.95         9 Collectible from $7.74      ', '  Paperback  \n $17.03  \n\n\n   \n     26 Used from $0.55         18 New from $8.99      ', '  Mass Market Paperback  \n    \n                             from $6.95                \n\n\n   \n     1 Collectible from $6.95      '], '1416532528')"
47,4592180461,"(['  Comics  \n $20.20  \n\n\n   \n     6 Used from $7.61         3 New from $20.20      '], '4592180461')"
48,0575040432,"(['  Paperback  \n $4.95  \n\n\n   \n     6 Used from $4.25         1 New from $21.89      ', '  Mass Market Paperback  \n $5.55  \n\n\n   \n     48 Used from $1.00         5 New from $22.08         7 Collectible from $4.50      '], '0575040432')"
49,0375410112,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $17.47  \n\n\n   \n     91 Used from $1.43         11 New from $10.64         31 Collectible from $4.95      ', '  Paperback  \n $14.83  \n\n\n   \n     187 Used from $0.99         35 New from $8.19         1 Collectible from $19.54      ', '  Audio, Cassette  \n    \n                             from $3.97                \n\n\n   \n     3 Used from $3.97         1 New from $25.00      '], '0375410112')"
50,0786818670,"(['  Hardcover  \n $23.99  \n\n\n   \n     26 Used from $1.95         5 New from $23.99      '], '0786818670')"
51,1845882075,"(['  Kindle  \n $2.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $33.09  \n\n\n   \n     2 Used from $26.45         8 New from $26.56      ', '  Paperback  \n $9.95  \n\n\n   \n     1 Used from $17.91         1 New from $9.95      '], '1845882075')"
52,0786208929,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $4.95  \n\n\n   \n     9 Used from $4.75         1 Collectible from $29.00      ', '  Paperback  \n $16.99  \n\n\n   \n     2 Used from $5.00      ', '  Mass Market Paperback  \n $8.99  \n\n\n   \n     30 Used from $1.98         12 New from $6.09      ', '  Audio CD  \n $30.80  \n\n\n   \n     2 New from $30.79      '], '0786208929')"
53,081254238X,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $21.99  \n\n\n   \n     2 Used from $21.36         11 New from $16.06         1 Collectible from $17.67      ', '  Mass Market Paperback  \n $19.95  \n\n\n   \n     9 Used from $5.00         1 New from $19.95      '], '081254238X')"
