,ISBN,result
40,0060279370,"(['  Kindle  \n $4.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $6.03  \n\n\n   \n     16 Used from $2.07      ', '  Paperback  \n $4.99  \n\n\n   \n     100 Used from $1.15         24 New from $3.50         1 Collectible from $9.50      ', '  Audio CD  \n $30.89  \n\n\n   \n     5 Used from $29.66         2 New from $26.91      ', '  Foam Book  \n    \n                             from $74.99                \n\n\n   \n     1 New from $195.00         1 Collectible from $74.99      '], '0060279370')"
41,0743507819,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $40.32  \n\n\n   \n     4 Used from $40.32         2 New from $94.82      ', '  Paperback  \n    \n                             from $2.41                \n\n\n   \n     2 Used from $13.68         1 New from $2.41      ', '  Mass Market Paperback  \n $5.95  \n\n\n   \n     58 Used from $1.25         2 New from $7.49         3 Collectible from $4.25      ', '  Audio, Cassette  \n $4.49  \n\n\n   \n     6 Used from $3.50         2 New from $2.77      '], '0743507819')"
42,0803733283,"(['  Kindle  \n $10.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $148.96  \n\n\n   \n     26 Used from $3.30         3 New from $146.78      '], '0803733283')"
43,097975710X,"(['  Kindle  \n $2.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $8.95  \n\n\n   \n     5 Used from $4.95         3 New from $8.40      '], '097975710X')"
44,2253120022,"([], '2253120022')"
45,0786265035,"([], '0786265035')"
46,0886460034,"([], '0886460034')"
47,0749300035,"(['  Kindle  \n $0.00  \n   \n Read with \n                    Kindle Unlimited  to also enjoy access to over 3 million more titles      $3.99 to buy    ', '  Hardcover  \n    \n                             from $33.57                \n\n\n   \n     6 Used from $33.57      ', '  Paperback  \n    \n                             from $55.33                \n\n\n   \n     2 Used from $55.33      ', '  Mass Market Paperback  \n $9.56  \n\n\n   \n     19 Used from $0.70      '], '0749300035')"
48,0394701283,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $30.79  \n\n\n   \n     6 Used from $30.77         9 New from $30.79      ', '  Paperback  \n $5.05  \n\n\n   \n     11 Used from $3.00      '], '0394701283')"
49,1570020477,"([], '1570020477')"
50,8838915741,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $9.00  \n\n\n   \n     8 Used from $4.65         11 New from $10.50      '], '8838915741')"
51,1587245361,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n    \n                             from $34.99                \n\n\n   \n     1 Used from $34.99      ', '  Paperback  \n $12.24  \n\n\n   \n     46 Used from $2.74         26 New from $11.09      ', '  Mass Market Paperback  \n $4.97  \n\n\n   \n     38 Used from $0.63         28 New from $4.00      ', '  Audio CD  \n $29.71  \n\n\n   \n     1 Used from $15.98         2 New from $19.97      '], '1587245361')"
52,0786277270,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $7.29  \n\n\n   \n     5 Used from $3.30      ', '  Paperback  \n $16.18  \n\n\n   \n     105 Used from $1.17         9 New from $9.82         1 Collectible from $3.97      ', '  MP3 CD  \n $14.99  \n\n\n   \n     4 New from $10.96      '], '0786277270')"
53,143448677X,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $15.99  \n\n\n   \n     1 New from $15.99      ', '  Paperback  \n $4.55  \n\n\n   \n     1 New from $4.55      ', '  MP3 CD  \n $19.00  \n\n\n   \n     1 New from $19.00      '], '143448677X')"
54,2080710745,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $9.50  \n\n\n   \n     4 New from $9.50      ', '  Mass Market Paperback  \n $14.48  \n\n\n   \n     3 Used from $6.13         5 New from $11.05      '], '2080710745')"
55,0099504286,"(['  Kindle  \n $10.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $18.90  \n\n\n   \n     65 Used from $1.83         11 New from $13.94         2 Collectible from $26.95      ', '  Paperback  \n $9.56  \n\n\n   \n     9 Used from $4.27         2 New from $16.33      ', '  Audio CD  \n $16.41  \n\n\n   \n     4 Used from $9.85         5 New from $9.48      '], '0099504286')"
56,0600771172,"(['  Hardcover  \n $11.16  \n\n\n   \n     5 Used from $7.16      ', '  Paperback  \n $8.70  \n\n\n   \n     9 Used from $4.71      '], '0600771172')"
57,840149964X,"(['  Kindle  \n $10.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $14.01  \n\n\n   \n     3 Used from $17.59         7 New from $13.86      ', '  Paperback  \n $9.91  \n\n\n   \n     8 Used from $7.99      ', '  Mass Market Paperback  \n $19.95  \n\n\n   \n     10 Used from $14.35         15 New from $15.59      '], '840149964X')"
